Company,TypeName,Inches,Price,Ram(GB),Weight(kg),Cpu(processor),"Gpu(I,N,A)Brand",SSD,HDD,X_res,Y_res,TouchScreen,Ips_display,OS,PPI,Resolution
Lenovo,Notebook,14.0,10.99308509015976,8,1.75,Intel Core i5,AMD,256,0,1920,1080,0,1,Windows,157.3505121487356,1920x1080
Lenovo,Gaming,15.6,10.742904151497523,8,2.4,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Other,141.21199808219862,1920x1080
Toshiba,Notebook,15.6,10.375818471540954,4,2.1,Intel Core i5,Intel,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,15.6,9.88635767027266,4,1.86,AMD,AMD,256,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Ultrabook,14.0,10.977716980635757,8,1.25,Intel Core i7,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
HP,Ultrabook,12.5,11.583439099510642,8,0.97,Other Intel,Intel,512,0,3840,2160,1,1,Windows,352.4651472131677,3840x2160
Asus,Notebook,15.6,9.816202683605532,4,2.0,Intel Celeron,Intel,0,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
MSI,Gaming,17.3,11.590859366057948,16,2.9,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Acer,Notebook,15.6,10.078119620845705,4,2.1,Intel Core i3,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Gaming,15.6,11.105867681227291,16,2.56,Intel Core i7,Nvidia,512,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Dell,Gaming,15.6,10.776844060703754,8,2.62,Intel Core i7,Nvidia,0,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Notebook,15.6,10.186161103256786,4,1.9,Intel Core i5,Intel,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
MSI,Gaming,17.3,11.51989313428582,16,2.8,Intel Core i7,Nvidia,256,1000,1920,1080,0,0,Windows,127.33567457123112,1920x1080
HP,Ultrabook,14.0,10.96212748563856,4,1.48,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,157.3505121487356,1920x1080
HP,Notebook,15.6,10.403666298916727,6,1.91,Intel Core i5,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,2 in 1 Convertible,14.0,10.419692282932576,4,1.74,Intel Core i3,Intel,256,0,1920,1080,1,1,Windows,157.3505121487356,1920x1080
Asus,2 in 1 Convertible,13.3,11.157152970844,8,1.1,Intel Core i5,Intel,256,0,1920,1080,1,0,Windows,165.6321180513006,1920x1080
Dell,2 in 1 Convertible,15.6,10.931153634628432,8,1.56,Intel Core i7,Intel,256,0,1920,1080,1,0,Windows,141.21199808219862,1920x1080
Toshiba,Notebook,15.6,10.078119620845705,4,2.1,Intel Core i3,Intel,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
Asus,Notebook,15.6,9.974497588178815,4,2.03,AMD,AMD,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Acer,Notebook,17.3,10.666403303650696,4,3.0,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Dell,Notebook,15.6,10.56586207442882,8,2.13,Intel Core i5,AMD,256,0,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Lenovo,Gaming,15.6,10.959350991490268,16,2.5,Intel Core i7,Nvidia,256,0,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,9.827763506006608,4,2.1,Intel Celeron,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
MSI,Gaming,15.6,11.470547260182666,16,2.4,Intel Core i7,Nvidia,256,1000,1920,1080,0,1,Windows,141.21199808219862,1920x1080
Acer,Notebook,15.6,9.871367833143674,4,2.1,Other Intel,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Dell,Gaming,15.6,10.942047370678033,8,2.56,Intel Core i7,Nvidia,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
Acer,Notebook,17.3,10.725492220020705,8,3.0,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Windows,127.33567457123112,1920x1080
HP,Notebook,13.3,10.60095339424009,4,1.49,Intel Core i5,Intel,0,500,1920,1080,0,1,Windows,165.6321180513006,1920x1080
Huawei,Ultrabook,13.0,11.18267988243989,8,1.05,Intel Core i5,Intel,256,0,2160,1440,0,1,Windows,199.69207064108247,2160x1440
HP,Notebook,17.3,10.525211768465944,6,2.71,Intel Core i5,AMD,0,2000,1920,1080,0,1,Windows,127.33567457123112,1920x1080
Lenovo,Notebook,15.6,9.70890230312988,4,2.2,AMD,AMD,0,500,1366,768,0,0,Other,100.45466986113652,1366x768
Toshiba,Notebook,15.6,10.167923515707006,4,2.0,Intel Core i3,Intel,0,500,1366,768,0,0,Windows,100.45466986113652,1366x768
HP,Notebook,17.3,10.803190260734986,8,2.5,Intel Core i5,Nvidia,256,0,1920,1080,0,0,Windows,127.33567457123112,1920x1080
Dell,Notebook,15.6,10.104611236292678,8,2.3,Intel Core i3,Intel,0,1000,1366,768,0,0,Windows,100.45466986113652,1366x768
Acer,Notebook,15.6,10.082583913974387,4,2.1,Intel Core i3,Intel,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
MSI,Gaming,18.4,11.912578515747589,32,4.4,Intel Core i7,Nvidia,512,1000,1920,1080,0,0,Windows,119.7232157653423,1920x1080
Lenovo,Notebook,15.6,10.676292135779944,8,1.9,Intel Core i5,AMD,128,1000,1920,1080,0,0,Windows,141.21199808219862,1920x1080
HP,2 in 1 Convertible,13.3,11.288114524334732,8,1.29,Intel Core i5,Intel,256,0,3840,2160,1,1,Windows,331.2642361026012,3840x2160
Dell,Notebook,15.6,10.931153634628432,16,2.02,Intel Core i7,AMD,256,2000,1920,1080,0,0,Linux,141.21199808219862,1920x1080
Dell,Ultrabook,13.3,11.219074000897615,8,1.23,Intel Core i5,Intel,256,0,1920,1080,0,0,Windows,165.6321180513006,1920x1080
Lenovo,2 in 1 Convertible,13.9,11.49796125761926,16,1.4,Intel Core i7,Intel,512,0,3840,2160,1,1,Windows,316.96506044349616,3840x2160
Toshiba,Notebook,15.6,10.651384247866982,8,2.0,Intel Core i5,Intel,128,0,1366,768,0,0,Windows,100.45466986113652,1366x768
Xiaomi,Notebook,15.6,11.064804181259648,8,1.95,Intel Core i5,Nvidia,256,0,1920,1080,0,1,Other,141.21199808219862,1920x1080
Dell,Notebook,17.3,11.320925866649002,16,2.77,Intel Core i7,Nvidia,512,0,1920,1080,1,0,Windows,127.33567457123112,1920x1080
